,Name of Recipe,Recipe Type,difficulty level,cooking time
0,Ragi Dosa Recipe | Nachni Dosa,Breakfast Recipes,Moderate,9 hrs 30 mins
1,"Navratri 2023 | Navratri Fasting Rules, Recipes & Pooja Vidhi",Navratri & Fasting Recipes,,
2,Taco Recipe | Vegetarian Tacos,Mexican Recipes,Moderate,30 mins
3,Fried Breadfruit Recipe,Vegetable Recipes,Moderate,25 mins
4,Mor Kulambu Recipe | Mor Kuzhambu,Curry Recipes,Moderate,30 mins
5,Pumpkin Bread (Eggless & with Whole Wheat Flour),Bread Recipes,Easy,1 hr 15 mins
6,Churumuri Recipe (Puffed Rice Snacks),Street Food Recipes,Easy,10 mins
7,Sem Ki Sabji | Surti Papdi Recipe | Valor Papdi Shaak,Vegetable Recipes,Moderate,30 mins
8,Allam Pachadi | Ginger Chutney | Allam Chutney,Chutney Recipes,Easy,15 mins
9,Papdi Bhaji Recipe,Vegetable Recipes,Moderate,35 mins
10,Panna Cotta Recipe | How to make Panna Cotta,Dessert Recipes,Moderate,15 mins
11,Eggless Waffles Recipe | Fluffy Whole Wheat Waffles,Breakfast Recipes,Moderate,25 mins
12,Ragi Dosa Recipe | Nachni Dosa,Breakfast Recipes,Moderate,9 hrs 30 mins
13,"Navratri 2023 | Navratri Fasting Rules, Recipes & Pooja Vidhi",Navratri & Fasting Recipes,,
14,Taco Recipe | Vegetarian Tacos,Mexican Recipes,Moderate,30 mins
15,Fried Breadfruit Recipe,Vegetable Recipes,Moderate,25 mins
16,Mor Kulambu Recipe | Mor Kuzhambu,Curry Recipes,Moderate,30 mins
17,Pumpkin Bread (Eggless & with Whole Wheat Flour),Bread Recipes,Easy,1 hr 15 mins
18,Churumuri Recipe (Puffed Rice Snacks),Street Food Recipes,Easy,10 mins
19,Sem Ki Sabji | Surti Papdi Recipe | Valor Papdi Shaak,Vegetable Recipes,Moderate,30 mins
20,Allam Pachadi | Ginger Chutney | Allam Chutney,Chutney Recipes,Easy,15 mins
21,Papdi Bhaji Recipe,Vegetable Recipes,Moderate,35 mins
22,Panna Cotta Recipe | How to make Panna Cotta,Dessert Recipes,Moderate,15 mins
23,Eggless Waffles Recipe | Fluffy Whole Wheat Waffles,Breakfast Recipes,Moderate,25 mins
24,Potol Recipe | Bengali Aloo Potol,Bengali Recipes,Moderate,30 mins
25,Scallion Pancakes | Green Onion Pancake | Chinese Pancakes,World Recipes,Moderate,40 mins
26,Cherry Tomato Salad,Salad Recipes,Easy,10 mins
27,Singara Recipe | Bengali Shingara,Bengali Recipes,Moderate,1 hr 15 mins
28,Homemade Refried Beans Recipe From Scratch,Mexican Recipes,Moderate,9 hrs 30 mins
29,Ragi Malt | Healthy Ragi Java | Ragi Porridge,Breakfast Recipes,Easy,15 mins
30,Avarakkai Poriyal | Avarakkai Recipe,Tamil Nadu Food,Easy,35 mins
31,Vazhakkai Fry | Vazhakkai Varuval,Tamil Nadu Food,Moderate,25 mins
32,Onam Sadhya | 32 Onam Sadya Recipes 2023,DIY & Collections,,
33,Masala Bread | Easy Bread Masala,Bread Snacks,Easy,15 mins
34,Oatmeal Cookies | Oatmeal Raisin Cookies,Cookies,Moderate,30 mins
35,Fresh Pomegranate Juice (Anar Juice),Juices,Moderate,15 mins
36,Chilli Gobi (Cauliflower Chilli),Indo Chinese Recipes,Moderate,1 hr
37,Madra Recipe | Himachali Rajma Madra Recipe,Dal (Lentils) & Legumes,Moderate,40 mins
38,Tiramisu Recipe (Without Eggs),Dessert Recipes,Moderate,45 mins
39,Creamy Instant Pot Rice Pudding,Instant Pot,Easy,30 mins
40,Vatha Kulambu | Vatha Kuzhambu,Tamil Nadu Food,Easy,30 mins
41,Bobbatlu Recipe | Obbattu Recipe | Holige Recipe,Sweets Recipes,Moderate,1 hr 30 mins
42,Easy Pineapple Upside Down Cake (Eggless),Cake Recipes,Easy,1 hr
43,Garlic Breadsticks Recipe | Cheese Breadsticks,Bread Recipes,Moderate,1 hr 30 mins
44,Majjige Saaru | Majjiga Charu | Mor Rasam,South Indian Food,Moderate,20 mins
45,Cham Cham Sweet Recipe | Bengali Chum Chum Recipe,Bengali Recipes,Moderate,40 mins
46,How To Clean Banana Flower (Vazhaipoo),DIY & Collections,Easy,45 mins
47,Shri Ram Navami Recipes 2023,DIY & Collections,,
48,Fried Noodles (DIY) | How To Make Crispy Fried Noodles,Indo Chinese Recipes,Moderate,25 mins
49,Pesto Pizza with Whole Wheat Flour,Italian Recipes,Easy,20 mins
50,Kovakkai Poriyal,Vegetable Recipes,Easy,30 mins
51,Majjiga | Sambaram | Neer Mor,Beverages,Moderate,10 mins
52,Masala Chaas Recipe (North Indian Buttermilk),Beverages,Easy,10 mins
53,Turmeric Milk | Golden Milk (Haldi Doodh),Beverages,Easy,3 mins
54,Instant Dosa Recipe | Instant Dosa Mix,DIY & Collections,Moderate,30 mins
55,Refreshing Pear Juice Recipe,Juices,Easy,10 mins
56,Ennai Kathirikai Kulambu,Brinjal Recipes,Moderate,40 mins
